edge,machineType,sensorId,min10,max90,median,avg,std
a16,AC,a16sncac,10.2,10.88,10.59,10.5736,0.6557
a16,AF,a16sncaf,2.41,2.5,2.46,2.4562,0.1055
a16,AP,a16sncap,2.23,2.31,2.28,2.2808,0.127
a16,H,a16snch,6.941,7.43,7.19,7.1054,0.8086
a16,L,a16sncl,2.117,2.253,2.195,2.3877,1.4422
a16,V,a16sncv,0.26,0.39,0.3,0.3034,0.0529
a17,AC,a17sncac,9.54,10.07,9.79,9.7978,0.2058
a17,AF,a17sncaf,3.93,4.24,4.08,4.0808,0.1229
a17,AP,a17sncap,2.41,2.48,2.45,2.4462,0.0313
a17,H,a17snch,6.95,7.42,7.16,7.1066,0.7031
a17,L,a17sncl,2.21,2.34,2.28,2.278,0.0555
a17,V,a17sncv,0.29,0.31,0.3,0.2961,0.0083
a18,AC,a18sncac,9.94,10.55,10.24,10.2579,0.5027
a18,AF,a18sncaf,2.13,2.22,2.17,2.207,0.3478
a18,AP,a18sncap,2.34,2.42,2.38,2.3843,0.1577
a18,H,a18snch,5.85,6.09,5.97,5.9601,0.2947
a18,L,a18sncl,2.09,2.272,2.16,2.2684,0.9204
a18,V,a18sncv,0.28,0.34,0.31,0.3041,0.0491
a19,AC,a19sncac,9.85,10.36,10.1,10.0976,0.3226
a19,AF,a19sncaf,2.38,2.43,2.41,2.4198,0.2283
a19,AP,a19sncap,2.3,2.39,2.34,2.3417,0.0515
a19,H,a19snch,7.16,7.65,7.41,7.3527,0.7034
a19,L,a19sncl,1.984,10.372,2.09,3.0931,2.8706
a19,V,a19sncv,0.25,0.3,0.29,0.283,0.0421
a20,AC,a20sncac,10.05,10.6,10.33,10.311,0.4402
a20,AF,a20sncaf,2.08,2.15,2.12,2.1436,0.3147
a20,AP,a20sncap,2.48,2.55,2.52,2.5157,0.0366
a20,H,a20snch,7.17,7.77,7.52,7.0806,1.7652
a20,L,a20sncl,1.853,7.115,1.895,2.8858,2.5783
a20,V,a20sncv,0.26,0.41,0.31,0.3083,0.0595
c01,AC,c01sncac,10.01,10.65,10.27,10.3003,0.2444
c01,AF,c01sncaf,3.51,3.76,3.64,3.637,0.216
c01,AP,c01sncap,1.98,2.2,2.1,2.093,0.0839
c01,H,c01snch,5.46,7.55,5.64,6.0255,1.0898
c01,L,c01sncl,2.13,2.261,2.2,2.1925,0.2275
c01,V,c01sncv,0.63,0.68,0.65,0.6571,0.0313
c02,AC,c02sncac,9.973,10.55,10.22,10.2434,0.2212
c02,AF,c02sncaf,3.18,3.41,3.28,3.2886,0.1091
c02,AP,c02sncap,1.48,1.59,1.54,1.5369,0.0445
c02,H,c02snch,1.864,7.39,7.08,6.4507,2.0099
c02,L,c02sncl,1.258,1.526,1.47,1.7172,1.7087
c02,V,c02sncv,0.91,1.25,0.94,1.0161,0.1355
c03,AC,c03sncac,9.48,10.34,9.85,9.8845,0.3252
c03,AF,c03sncaf,3.15,3.29,3.21,3.2143,0.0717
c03,AP,c03sncap,2.17,2.34,2.28,2.2666,0.0675
c03,H,c03snch,5.75,6.13,5.96,5.9368,0.3313
c03,L,c03sncl,1.734,1.83,1.78,1.7825,0.0527
c03,V,c03sncv,0.91,0.98,0.94,0.9528,0.0713
c04,AC,c04sncac,9.48,10.15,9.77,9.7924,0.2867
c04,AF,c04sncaf,3.0,3.12,3.05,3.0628,0.3285
c04,AP,c04sncap,2.03,2.18,2.11,2.1106,0.1139
c04,H,c04snch,6.04,6.52,6.34,6.0256,1.1892
c04,L,c04sncl,2.512,2.67,2.61,2.6086,0.0709
c04,V,c04sncv,0.92,1.21,0.94,0.988,0.1091
c05,AC,c05sncac,9.05,9.88,9.41,9.4421,0.4059
