edge,machineType,sensorId,min10,max90,median,avg,std
d15,AF,d15sncaf,3.06,3.12,3.08,3.0868,0.0316
d15,AP,d15sncap,1.77,1.81,1.78,1.7847,0.0176
d15,L,d15sncl,0.55,0.868,0.8,0.7282,0.1664
d15,V,d15sncv,0.29,0.367,0.31,0.3242,0.0303
d16,AC,d16sncac,9.37,9.64,9.51,9.511,0.1104
d16,AF,d16sncaf,3.48,3.59,3.53,3.5325,0.0427
d16,AP,d16sncap,2.52,2.56,2.55,2.5451,0.0162
d16,L,d16sncl,1.783,2.0,1.96,2.2005,1.341
d16,V,d16sncv,0.31,0.33,0.32,0.3167,0.008
d17,AC,d17sncac,9.292,9.662,9.47,9.4681,0.1454
d17,AF,d17sncaf,3.116,3.194,3.15,3.153,0.0325
d17,AP,d17sncap,2.41,2.45,2.44,2.4334,0.0149
d17,L,d17sncl,1.46,1.58,1.5,1.8705,1.5385
d17,V,d17sncv,0.29,0.39,0.3,0.3068,0.0396
d18,AC,d18sncac,9.01,9.31,9.15,9.1434,0.1141
d18,AF,d18sncaf,3.11,3.2,3.14,3.1482,0.0394
d18,AP,d18sncap,2.43,2.52,2.47,2.4736,0.0344
d18,L,d18sncl,1.109,5.153,4.97,4.7118,1.9673
d18,V,d18sncv,0.29,0.3,0.3,0.2967,0.0075
d19,AC,d19sncac,9.34,9.76,9.59,9.5612,0.1658
d19,AF,d19sncaf,2.76,2.83,2.8,2.795,0.0264
d19,AP,d19sncap,1.617,1.67,1.64,1.6424,0.0219
d19,L,d19sncl,0.84,3.572,0.87,1.6505,2.2976
d19,V,d19sncv,0.282,0.384,0.3,0.3196,0.0442
d20,AC,d20sncac,8.835,9.09,8.955,8.9588,0.1008
d20,AF,d20sncaf,3.32,3.42,3.38,3.3717,0.0436
d20,AP,d20sncap,2.44,2.49,2.47,2.4661,0.0232
d20,L,d20sncl,0.949,1.122,0.99,1.4905,1.8661
d20,V,d20sncv,0.173,0.38,0.29,0.2941,0.077
d21,AC,d21sncac,9.979,10.383,10.215,10.205,0.1818
d21,AF,d21sncaf,3.699,3.761,3.74,3.735,0.0252
d21,AP,d21sncap,2.468,2.592,2.53,2.533,0.0555
d21,L,d21sncl,0.904,1.1,0.935,1.0531,0.5044
d21,V,d21sncv,0.611,0.619,0.615,0.615,0.0041
e01,AC,e01sncac,9.86,10.3,10.09,10.0907,0.163
e01,AF,e01sncaf,3.74,3.89,3.82,3.8166,0.0575
e01,AP,e01sncap,2.34,2.5,2.45,2.4323,0.0623
e01,H,e01snch,6.54,6.8,6.65,6.6638,0.1179
e01,L,e01sncl,2.31,2.49,2.42,2.4064,0.0686
e01,V,e01sncv,0.93,0.97,0.95,0.9485,0.0159
e02,AC,e02sncac,9.35,9.7,9.5,9.5163,0.1417
e02,AF,e02sncaf,3.4,3.53,3.45,3.4731,0.1987
e02,AP,e02sncap,1.81,1.9,1.86,1.8621,0.0376
e02,H,e02snch,7.71,8.148,7.92,7.9335,0.1733
e02,L,e02sncl,1.837,1.967,1.93,1.91,0.0636
e02,V,e02sncv,0.95,1.01,0.98,0.9836,0.048
e03,AC,e03sncac,9.15,9.334,9.24,9.3064,0.8122
e03,AF,e03sncaf,2.58,2.62,2.6,2.6025,0.0155
e03,AP,e03sncap,2.41,2.53,2.5,2.4703,0.1496
e03,H,e03snch,7.14,7.551,7.31,7.3377,0.1814
e03,L,e03sncl,2.022,2.038,2.03,2.03,0.01
e03,V,e03sncv,0.76,0.781,0.77,0.7695,0.0115
e04,AC,e04sncac,9.04,9.587,9.36,9.324,0.2268
e04,AF,e04sncaf,3.35,3.48,3.41,3.5096,1.1369
e04,AP,e04sncap,2.34,2.5,2.44,2.4627,0.3669
e04,H,e04snch,7.15,7.708,7.34,7.3826,0.2152
e04,L,e04sncl,2.662,2.67,2.67,2.6667,0.0047
e04,V,e04sncv,0.75,0.8,0.77,0.7722,0.0287
e05,AC,e05sncac,9.09,9.56,9.3,9.3133,0.1881
e05,AF,e05sncaf,3.57,3.69,3.63,3.6324,0.0559
e05,AP,e05sncap,2.54,2.63,2.59,2.5883,0.0409
e05,H,e05snch,7.14,7.558,7.33,7.3419,0.179
e05,L,e05sncl,2.676,2.724,2.7,2.7,0.0245
e05,V,e05sncv,0.47,0.49,0.48,0.4821,0.0097
e06,AC,e06sncac,9.36,9.77,9.55,9.5537,0.1551
e06,AF,e06sncaf,3.58,3.682,3.63,3.6315,0.0453
e06,AP,e06sncap,2.47,2.592,2.56,2.5439,0.0508
e06,H,e06snch,8.075,8.52,8.27,8.2874,0.1719
e06,L,e06sncl,2.1,2.204,2.14,2.15,0.0535
e06,V,e06sncv,0.5,0.54,0.51,0.517,0.0375
e07,AC,e07sncac,8.907,9.403,9.08,9.1854,1.0103
e07,AF,e07sncaf,3.52,3.64,3.57,3.5562,0.153
e07,AP,e07sncap,1.67,1.74,1.71,1.7161,0.1195
e07,H,e07snch,7.29,7.73,7.46,7.4927,0.1761
e07,L,e07sncl,3.073,10.217,6.645,6.645,4.465
e07,V,e07sncv,0.74,0.79,0.77,0.7729,0.0351
e08,AC,e08sncac,9.091,9.43,9.25,9.2529,0.1409
e08,AF,e08sncaf,2.89,2.97,2.92,2.9259,0.0322
e08,AP,e08sncap,2.421,2.54,2.5,2.4906,0.043
e08,H,e08snch,7.71,8.06,7.87,7.869,0.1412
e08,L,e08sncl,2.3,2.324,2.3,2.31,0.0141
e08,V,e08sncv,0.78,0.85,0.8,0.8058,0.0528
e09,AC,e09sncac,9.506,9.924,9.71,9.7101,0.1779
e09,AF,e09sncaf,2.96,3.06,3.0,3.0349,0.4286
e09,AP,e09sncap,2.48,2.57,2.53,2.5264,0.0435
e09,H,e09snch,7.01,7.379,7.16,7.1795,0.1397
e09,L,e09sncl,2.082,2.09,2.09,2.0867,0.0047
e09,V,e09sncv,0.74,0.77,0.75,0.754,0.0139
e10,AC,e10sncac,8.99,9.44,9.19,9.2026,0.1733
e10,AF,e10sncaf,3.46,3.56,3.5,3.504,0.0391
e10,AP,e10sncap,2.45,2.533,2.51,2.4989,0.0348
e10,H,e10snch,6.85,7.13,6.98,6.9825,0.1148
e10,L,e10sncl,2.422,2.47,2.43,2.4433,0.0262
e10,V,e10sncv,0.73,0.77,0.74,0.7453,0.0143
e11,AC,e11sncac,9.765,10.11,9.915,9.9036,0.3222
e11,AF,e11sncaf,3.19,3.315,3.25,3.2452,0.0941
